Sr no,Date,Startup name,Industry Vertical,Sub Vertical,City Location,Investment Name,Investment Type,Amount in USD,Remarks
741,12/6/2017,LendingKart,Consumer Internet,Online Lending platform,Ahmedabad,Yes Bank,Debt Funding,"78,00,000",nan
742,12/6/2017,Boxx,Technology,Artificial Intelligence,Bangalore,Unicorn India Ventu,Private Equity,"5,00,000",nan
743,12/6/2017,PeeSafe,Healthcare,Hygiene care product manufacturer,New Delhi,"Venture Catalysts, A",Private Equity,"10,00,000",nan
744,12/6/2017,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,Artha India Venture,Seed Funding,"7,76,000",nan
745,12/6/2017,CoverFox,Consumer Internet,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,"1,50,00,000",nan
746,13/6/2017,HyperTrack,Technology,Location tracking solutions,New Delhi,Nexus Venture Part,Private Equity,N/A,nan
747,13/6/2017,Goodera,Technology,CSR and sustainability management p,Bangalore,Nexus Venture Part,Private Equity,"55,00,000",nan
748,13/6/2017,Digit,Technology,Tech driven Insurance platform,Bangalore,Fairfax Holdings,Private Equity,N/A,nan
749,14/6/2017,Ola,Consumer Internet,Cab Aggregation App,Bangalore,Tekne Capital Mana,Private Equity,"5,00,00,000",nan
750,14/6/2017,Vanitycask,Consumer Internet,Beauty products discovery platform,Mumbai,RB Investments,Seed Funding,N/A,nan
751,14/6/2017,MrNeeds,Consumer Internet,Micro Food Delivery platform,Noida,undisclosed investo,Seed Funding,"5,00,000",nan
752,15/6/2017,MoneyTap,Consumer Internet,Money Lending platform,Bangalore,"Sequoia India, NEA",Private Equity,"1,23,00,000",nan
753,16/6/2017,Goodbox,eCommerce,Mobile SAAS\\xc2\\xa0 ECommerce pl,Bangalore,Nexus Venture Part,Private Equity,"10,00,000",nan
754,16/6/2017,Fincash,Consumer Internet,Personal Finance platform,Mumbai,"Mohammed Khan,",Seed Funding,"1,00,000",nan
755,16/6/2017,PortDesk,Technology,Maritime Solutions,Noida,Alphard Maritime G,Seed Funding,"20,00,000",nan
756,16/6/2017,EdgeFx,eCommerce,DIY project Kits seller,Hyderabad,Cross Border Angel,Seed Funding,N/A,nan
757,16/6/2017,EazyDiner,Consumer Internet,Online Restaurant Reservation Platfor,Gurgaon,YouWeCan Venture,Seed Funding,N/A,nan
758,16/6/2017,HealthIntel,Healthcare,Online Pharmacy,New Delhi,BLIP Initiatives,Seed Funding,N/A,nan
759,19/6/2017,Unbxd,Technology,Cloud-based product discovery platfor,Bangalore,Eight Roads Ventur,Private Equity,"1,25,00,000",nan
760,19/6/2017,DarwinBox,Technology,Enterprise human resources managem,Hyderabad,Lightspeed India Pa,Private Equity,"40,00,000",nan
761,20/6/2017,ForeverShop,Consumer Internet,Mobile based ecommerce platform,Bangalore,91maker,Seed Funding,"3,00,000",nan
762,20/6/2017,Insider,Consumer Internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,"52,00,000",nan
763,21/6/2017,Fynd,eCommerce,Fashion etailer,Mumbai,"IIFL Seed Ventures,",Private Equity,"24,00,000",nan
764,21/6/2017,Grow Fit,Consumer Internet,Health-Tech platform,Bangalore,Manipal Education,Private Equity,"45,00,000",nan
765,21/6/2017,Fabulyst,Technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed Funding,"2,15,000",nan
766,21/6/2017,mSwipe,Technology,Point-of-Sale services,Mumbai,"UC-RNT Fund, Mat",Private Equity,"3,10,00,000",nan
767,21/6/2017,OneAssist,Consumer Internet,Credit card fraud protection,Mumbai,Sequoia Capital,Private Equity,N/A,nan
768,22/6/2017,Julia Computing,Technology,Open Source Language for Data Scien,Bangalore,"General Catalyst, F",Private Equity,"46,00,000",nan
769,22/6/2017,Kissht,Consumer Internet,Consumer Lending platform,Mumbai,"Endiya Partners, Ve",Private Equity,"20,00,000",nan
770,22/6/2017,Explore Life traveling,Consumer Internet,Local homes booking platform,Bangalore,"Mekin Maheshwari,",Seed Funding,"5,00,000",nan
771,23/6/2017,Loantap,Consumer Internet,Lending platform for salaried professio,Mumbai,"Kae Capital, India Q",Private Equity,"40,00,000",nan
772,23/6/2017,Voxweb,Consumer Internet,Mobile based social networking platfor,Mumbai,Undisclosed investo,Seed Funding,"10,00,000",nan
773,26/6/2017,HUG Innovations,Technology,Gesture based\\xc2\\xa0 Smartwatch m,Hyderabad,"Mohit Srivastav, Kis",Private Equity,"50,00,000",nan
774,26/6/2017,Flipkart,eCommerce,Online marketplace,Bangalore,Naspers,Private Equity,"7,10,00,000",nan
775,26/6/2017,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB Inter",Private Equity,"40,00,000",nan
776,27/6/2017,Stashfin,Consumer Internet,Personal Finance App,New Delhi,Snow Leopard Vent,Private Equity,"50,00,000",nan
777,27/6/2017,Formcept,Consumer Internet,Unified Data Analysis platform,Bangalore,Gujarat Venture Fin,Private Equity,N/A,nan
778,27/6/2017,Spares Hub,eCommerce,Automobile parts marketplace,Pune,The Chennai Angel,Seed Funding,"3,11,000",nan
779,28/6/2017,FiTraQ,Consumer Internet,Fitness Centre Discovery Platform,New Delhi,"Aparup Sengupta, D",Seed Funding,N/A,nan
780,28/6/2017,Rubique,Consumer Internet,Online Marketplace for financial produc,Mumbai,"Kalaari Capital, Uda",Private Equity,"30,00,000",nan
781,28/6/2017,Niki,Consumer Internet,AI Based Personal Assistant,Bangalore,"SAP.iO, Unilazer Ve",Private Equity,"20,00,000",nan
782,29/6/2017,Fitpass,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Ga",Private Equity,"10,00,000",nan
783,29/6/2017,ZingHR,Technology,"digital employee solutions,",Mumbai,Zeta,Private Equity,N/A,nan
784,30/6/2017,Tagos Design,Technology,in-video discovery platform,Bangalore,Undisclosed Investo,Private Equity,"50,00,000",nan
785,30/6/2017,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Pa",Private Equity,"2,10,00,000",nan
786,01/5/2017,Ace2three,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,"7,37,00,000",nan
787,01/5/2017,Power2SME,eCommerce,Buying portal for SMEs,Gurgaon,International Financ,Private Equity,"1,00,00,000",nan
788,02/5/2017,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding,"15,00,000",nan
789,02/5/2017,4tigo,Logistics,Truck Network company,Bangalore,"Accel Partners, Nan",Private Equity,"1,00,00,000",nan
790,02/5/2017,SMECorner,Consumer Internet,Online Platform for small business loan,Mumbai,Dutch government f,Private Equity,N/A,nan
791,02/5/2017,ZippServe,Consumer Internet,Real estate risk assessment platform,Bangalore,undisclosed investo,Seed Funding,"3,90,000",nan
792,03/5/2017,Ola,Consumer Internet,Cab Aggregation App,Bangalore,Falcon Edge Capita,Private Equity,"10,45,00,000",nan
793,03/5/2017,Sumeru,Technology,Software & Mobile development servic,Bangalore,undisclosed investo,Seed Funding,"10,00,000",nan
794,04/5/2017,Healthians,Consumer Internet,Online Diagnostics and wellness platfo,New Delhi,"Asuka Holdings, Yo",Private Equity,N/A,nan
795,05/5/2017,HealthMir,Consumer Internet,AI-based health content platform,New Delhi,Nimit Panigrahi,Seed Funding,N/A,nan
796,05/5/2017,Uactive,Consumer Internet,Health-based social networking & disc,Mumbai,Hinduja family,Seed Funding,N/A,nan
797,05/5/2017,i-lend,Consumer Internet,Peer-to-peer lending platform,Hyderabad,50K Ventures,Seed Funding,N/A,nan
798,05/5/2017,Good Methods Global,Technology,Cloud Based Practice Management So,Trivandrum,Accel Partners,Private Equity,N/A,nan
799,05/5/2017,Balance App,Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding,"2,33,000",nan
800,08/5/2017,YepMe,eCommerce,Private Label Fashion etailer,Gurgaon,Rainbow Digital Ser,Private Equity,"7,00,000",nan
801,08/5/2017,Nightstay,Consumer Internet,Last minute hotel booking mobile app,New Delhi,Indian Angels Netw,Seed Funding,N/A,nan
802,08/5/2017,Devourin,Technology,Restaurant Automation Solution,Pune,Deepak Nathani,Seed Funding,N/A,nan
803,08/5/2017,MyGreens,Food & Beverage,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVen",Seed Funding,"10,00,000",nan
804,08/5/2017,Ace Turtle,Technology,Omni-Channel Platform,Bangalore,"Vertex Ventures, C3",Private Equity,"50,00,000",nan
805,08/5/2017,CureFit,Technology,Health-Tech Platform,Bangalore,Trifecta Capital Adv,Private Equity,"32,00,000",nan
806,09/5/2017,Curie Labs,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding,"50,000",nan
807,09/5/2017,Uncanny Vision,Technology,Computer Vision on Embedded System,Bangalore,Anand Chandrasek,Seed Funding,N/A,nan
808,09/5/2017,Anchanto,Technology,Ecommerce Fulfilment and Technology,Pune,Luxasia Group,Private Equity,N/A,nan
809,09/5/2017,Sequretek,Technology,IT Security & Data Management Servic,Mumbai,"GVFL, Unicorn Indi",Private Equity,N/A,nan
810,10/5/2017,Lucideus,Technology,Cyber Security Startup,New Delhi,"Vellayan Subbiah, J",Seed Funding,N/A,nan
811,10/5/2017,Vidooly,Consumer Internet,Video Intelligence platform,Noida,"Times Internet, GVF",Private Equity,"14,00,000",nan
812,10/5/2017,Shopclues,eCommerce,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,"77,00,000",nan
813,10/5/2017,Fourth Ambit,Consumer Internet,Community Building platform,Bangalore,1Crowd,Seed Funding,"6,00,000",nan
814,10/5/2017,Chymera VR,Technology,Advertising Platform for Virtual Reality,Bangalore,"Varsha Rao, Surojit",Seed Funding,N/A,nan
815,11/5/2017,Early Salary,Consumer Internet,Online lending platform,Pune,"DG Ventures India,",Private Equity,"40,00,000",nan
816,11/5/2017,Book My Diamond,eCommerce,Diamond B2B eTailer,Mumbai,Chirag Nikunj Sheth,Seed Funding,N/A,nan
817,11/5/2017,ION Energy,Technology,Clean Tech Startup,Mumbai,"Aakrit Vaish, Swapa",Seed Funding,N/A,nan
818,12/5/2017,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,"50,00,000",nan
819,12/5/2017,Log 9 Materials,Technology,NanoTech product developer,Bangalore,GEMs,Seed Funding,N/A,nan
820,12/5/2017,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenu",Private Equity,"4,66,000",nan
821,12/5/2017,Aequm,eCommerce,Cloud ECommerce platform,Bangalore,undisclosed investo,Seed Funding,"10,00,000",nan
822,15/5/2017,Zapty,Technology,Project Management tool,Bangalore,IdeaSpring Capital,Seed Funding,"5,00,000",nan
823,15/5/2017,Vernacular,Technology,Multi-lingual AI Platform for Businesse,Bangalore,Kstart Capital,Seed Funding,N/A,nan
824,16/5/2017,Niki,Technology,AI-based chatbot,Bangalore,SAP,Private Equity,N/A,nan
825,16/5/2017,Telr,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,"30,00,000",nan
826,16/5/2017,Fynd,eCommerce,Fashion ECommerce Portal,Mumbai,Rocketship,Private Equity,"5,00,000",nan
827,17/5/2017,Genie,Consumer Internet,hyperlocal delivery and logistics mobile,Chennai,undisclosed investo,Seed Funding,"2,50,000",nan
828,17/5/2017,Paysense,Consumer Internet,Online Lending platform,Mumbai,Jungle Ventures,Private Equity,"53,00,000",nan
829,18/5/2017,The Good Life,ECommerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi,",Seed Funding,"10,00,000",nan
830,18/5/2017,PumpKart,eCommerce,Online Water Pumps etailer,Chandigarh,Dr. Ritesh Malik,Seed Funding,N/A,nan
831,18/5/2017,Paytm,ECommerce,Mobile Wallet & ECommerce platform,Bangalore,SoftBank Group,Private Equity,"1,40,00,00,000",nan
832,19/5/2017,EzCred,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Ra",Seed Funding,"10,00,000",nan
833,19/5/2017,HealthSutra,Food & Beverage,Health Food Maker,Hyderabad,"Ankur Capital, Hyde",Seed Funding,N/A,nan
834,20/5/2017,YepMe,eCommerce,Private Fashion Brand etailer,New Delhi,Gokaldas Exports L,Private Equity,N/A,nan
835,22/5/2017,Delhivery,Logistics,ECommerce Logistics provider,New Delhi,Fosun International,Private Equity,"3,00,00,000",nan
836,22/5/2017,ZipGrid,Consumer Internet,"Cashless, paperless solutions for Hous",Mumbai,"JLL, 1Crowd",Seed Funding,"5,00,000",nan
837,23/5/2017,TravelSpice,ECommerce,Travel ECommerce portal,Hyderabad,Eagle10 Ventures,Seed Funding,N/A,nan
838,23/5/2017,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurgaon,Lightspeed Venture,Private Equity,"66,00,000",nan
839,23/5/2017,The Print,Consumer Internet,News Portal,New Delhi,"Ratan Tata, Nandan",Seed Funding,N/A,nan
840,23/5/2017,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,"10,00,000",nan
841,24/5/2017,GenNext Students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investo,Seed Funding,"5,80,000",nan
842,25/5/2017,Aye Finance,Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,"80,00,000",nan
843,26/5/2017,WhatsLoan,Consumer Internet,Online Lending mobile app,Bangalore,Lahiri Music 99s fam,Seed Funding,N/A,nan
844,29/5/2017,Cube Consumer Services,Consumer Internet,Finance management Mobile app,Mumbai,N/A,Seed Funding,N/A,nan
845,29/5/2017,Nivesh,Consumer Internet,Online MF investment platform,Noida,"PV Sahad, Sandee",Seed Funding,N/A,nan
846,29/5/2017,Wowflux,Technology,image Processing solution,New Delhi,Undisclosed Investo,Seed Funding,N/A,nan
847,29/5/2017,Collateral Medical,eCommerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,"35,00,000",nan
848,30/5/2017,Loadshare,Logistics,Express Logistics Network,Bangalore,Matrix Partners,Seed Funding,N/A,nan
849,30/5/2017,SimpliLend,Consumer Internet,Online lending platform,New Delhi,Undisclosed Investo,Seed Funding,N/A,nan
850,30/5/2017,Supr Daily,Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Grea",Private Equity,"15,00,000",nan
851,30/5/2017,Swiggy,Consumer Internet,Online food delivery platform,Bangalore,"Nasper, Accel India,",Private Equity,"8,00,00,000",nan
852,31/5/2017,SastaSundar,eCommerce,Online Pharmacy,Kolkata,Rohto Pharmaceuti,Private Equity,"50,00,000",nan
853,31/5/2017,Magicpin,Consumer Internet,Hyperlocal Discovery\\xc2\\xa0 & Rew,Gurgaon,Lightspeed India Pa,Private Equity,"70,00,000",nan
854,01/4/2017,Cashe,Consumer Internet,Online & Mobile based Lending platfor,Mumbai,"Mathew Cyriac, Flor",Private Equity,"38,00,000",nan
855,03/4/2017,Eruditus,Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,"82,00,000",nan
856,03/4/2017,TestBook,Consumer Internet,Online Test Preparation Platform,Mumbai,Matrix Partners Indi,Private Equity,N/A,nan
857,03/4/2017,Healthcare at Home,Healthcare,Home Healthcare Provider,Noida,Quadria Capital Adv,Private Equity,"4,00,00,000",nan
858,03/4/2017,Tyre Express,Technology,Enterprise IoT solutions For Tyre Perfo,Mumbai,Rohitash Gupta,Seed Funding,N/A,nan
859,03/4/2017,SmartCoin,Consumer Internet,Micro Lending platform,Bangalore,Unicorn India Ventu,Private Equity,N/A,nan
860,04/4/2017,WayCool,Food & Beverage,Fresh-Produce Distribution Platform,Chennai,Aspada Investment,Private Equity,"27,00,000",nan
861,04/4/2017,Perfios,Technology,Fin-Tech Solutions,Bangalore,Bessemer Venture,Private Equity,"61,00,000",nan
862,04/4/2017,Whatfix,Technology,Interactive Tech-Support Guides,Bangalore,Stellaris Venture Pa,Private Equity,"36,90,000",nan
863,04/4/2017,ElastiRun,Technology,App based Logistics & Distribution plat,Pune,"Kalaari Capital, Nor",Private Equity,"70,00,000",nan
864,04/4/2017,Trukky,Consumer Internet,Online Truck Aggregator & Booking pla,Ahmedabad,"Keyur Joshi, Pavan",Seed Funding,"5,00,000",nan
865,04/4/2017,Konsult App,Consumer Internet,App based Doctor Consulting platform,New Delhi,"Koen Bouwers, Lom",Seed Funding,"5,00,000",nan
866,05/4/2017,Credit Sudhaar,Consumer Internet,Credit Score Improvement platform,Mumbai,"Deepak Kulkarni, S",Seed Funding,N/A,nan
867,05/4/2017,Fingerlix,Consumer Internet,Food Delivery Platform,Mumbai,Zephyr Peacock Ind,Private Equity,"30,00,000",nan
868,05/4/2017,DataWeave,Technology,Business Intelligence Solutions,Bangalore,"FreakOut Group, Bl",Private Equity,N/A,nan
869,06/4/2017,Medwell Ventures,Healthcare,Home-Based Healthcare provider,Bangalore,"Mahindra Partners,",Private Equity,"2,10,00,000",nan
870,06/4/2017,Mech Mocha,Consumer Internet,Mobile gaming startup,Bangalore,"Accel Partners, Shu",Private Equity,"50,00,000",nan
871,07/4/2017,Startup Buddy,Consumer Internet,Startup Support Platform,Gurgaon,YouWeCan Venture,Seed Funding,N/A,nan
872,07/4/2017,QorQI,Healthcare,Online Healthcare provider,Noida,Paytm,Seed Funding,N/A,nan
873,07/4/2017,Twenty Two Motors,Technology,Smart Scooter manufacturer,Gurgaon,"Ishwar Singh,Farha",Seed Funding,N/A,nan
874,07/4/2017,PharmEasy,eCommerce,Online Pharmacy,Mumbai,Bessemer Venture,Private Equity,"1,80,00,000",nan
875,08/4/2017,WonderChef,eCommerce,Online marketplace for kitchen product,Mumbai,Labruyere Eberl\\xc,Private Equity,N/A,nan
876,08/4/2017,FastFox,Consumer Internet,Online rental discovery platform,Gurgaon,Lightspeed India Pa,Private Equity,"46,00,000",nan
877,10/4/2017,Omnify,Technology,SaaS platform for SMEs,Bangalore,"Rajan Anandan, L.D",Seed Funding,"1,50,000",nan
878,10/4/2017,Capital Float,Consumer Internet,Online Lending Platform for SME,Bangalore,Mahindra and Mahi,Private Equity,"23,00,000",nan
879,11/4/2017,Ninjacart,eCommerce,B2B agri-marketing platform,Bangalore,"Accel Partners, Nan",Private Equity,"55,00,000",nan
880,11/4/2017,MergerWare,Technology,Software solutions for M&As,Bangalore,Philippe Bouchet,Seed Funding,"1,00,000",nan
881,11/4/2017,Sports Flashes,Consumer Internet,Online Sports portal & Mobile app,New Delhi,"Sushil Kumar, Sand",Seed Funding,N/A,nan
882,12/4/2017,Clovia,eCommerce,Online lingerie & Sleepwear etailer,New Delhi,Ivycap Ventures Ad,Private Equity,"40,00,000",nan
883,12/4/2017,Emiza,Logistics,Third Party Logistics provider,Mumbai,"Mayfield, Nishant R",Private Equity,"45,00,000",nan
884,12/4/2017,HackerEarth,Consumer Internet,Online Skill Assessment Platform,Bangalore,"DHI Group Inc, Prim",Private Equity,"45,00,000",nan
885,12/4/2017,Squadrun,Technology,Software-As-a-Service Platform,Noida,"Blume Ventures, Co",Private Equity,"21,00,000",nan
886,12/4/2017,Tinmen,Consumer Internet,Food Delivery Platform,Hyderabad,MAPE Advisory Gro,Seed Funding,N/A,nan
887,12/4/2017,ScoutMyTrip,Consumer Internet,Online Travel planner,Mumbai,Z Nation Lab,Seed Funding,N/A,nan
888,13/4/2017,SafetyKart,eCommerce,Safety & Hygiene Products etailer,Gurgaon,Redcliffe Capital,Private Equity,N/A,nan
889,13/4/2017,WeAreHolidays,Consumer Internet,Travel Packages & Planner marketplac,Gurgaon,"Urrshila Kerkar,",Private Equity,"77,00,000",nan
890,14/4/2017,Ola Cabs,Consumer Internet,Cab Aggregator App,Bangalore,SIMI Pacific Pte,Private Equity,"26,00,00,000",nan
891,15/4/2017,Myly,Consumer Internet,Mobile App for Schools,Jaipur,mall Industries Dev,Seed Funding,"3,10,000",nan
892,17/4/2017,CrediHealth,Consumer Internet,Online Medical Assistance platform,Gurgaon,"Tolaram Inc, Mount",Private Equity,"15,00,000",nan
893,17/4/2017,Navia Life Care,Technology,Health Technology platform,New Delhi,Benori Ventures LL,Seed Funding,N/A,nan
894,17/4/2017,Raw Pressery,Food & Beverages,Raw Pressed Juices manufacturer,Mumbai,Jacqueline Fernand,Seed Funding,N/A,nan
895,17/4/2017,Snackible,Food & Beverages,Healthy Snacks manufacturer,Mumbai,"Nibhrant Shah, Ana",Seed Funding,"1,75,000",nan
896,17/4/2017,Be U Salons,Consumer Internet,Online Salon discovery & Booking Ser,New Delhi,"Gaurav Kachru, Su",Seed Funding,"6,20,000",nan
897,17/4/2017,Simulanis,Consumer Internet,eLearning & Skills Development plat,New Delhi,Village Capital,Seed Funding,N/A,nan
898,17/4/2017,LendingKart,Consumer Internet,Lending platform for small businesses,Ahmedabad,Anicut Capital,Private Equity,"46,50,000",nan
899,18/4/2017,Innefu Security Consulting,Technology,Cyber Security solutions using AI,New Delhi,IndiaNivesh Venture,Private Equity,"20,00,000",nan
900,18/4/2017,Whodat,Technology,Markerless AR platform,Bangalore,Ideaspring Capital,Private Equity,"6,00,000",nan
901,18/4/2017,Absentia VR,Technology,Virtual Reality Startup,Bangalore,Exfinity Venture Par,Private Equity,"12,50,000",nan
902,19/4/2017,IOTrek,Technology,IoT Platform for Bus,New Delhi,Undisclosed Investo,Seed Funding,"1,55,000",nan
903,20/4/2017,HolaChef,Consumer Internet,Online Food Delivery,Mumbai,SIDBI Venture Capi,Private Equity,"30,00,000",nan
904,20/4/2017,Wooplr,eCommerce,Social Commerce\\xc2\\xa0 Fashion pl,Bangalore,Ankit Nagori,Private Equity,N/A,nan
905,21/4/2017,Video Ken,Consumer Internet,Video Based Collaborative Learning,Bangalore,"Ravi Garikipati, Sur",Seed Funding,"10,00,000",nan
906,24/4/2017,Faasos,Food & Beverage,QSR chain and online food delivery,Pune,Ligthbox Ventures II,Private Equity,"63,00,000",nan
907,24/4/2017,Oyo Rooms,Consumer Internet,Branded Budget Hotels Aggregator,Gurgaon,SoftBank Vision Fun,Private Equity,"25,00,00,000",nan
908,24/4/2017,Toppr,Consumer Internet,Learning mobile app for students,Mumbai,WGG International,Private Equity,"32,00,000",nan
909,24/4/2017,Niramai,Healthcare,Breast Cancer Screening Solutions,Bangalore,"pi Ventures, Axilor V",Seed Funding,N/A,nan
910,25/4/2017,The Office Pass,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Arun Tadanki, Adity",Seed Funding,"2,45,000",nan
911,25/4/2017,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,Trifecta Capital,Private Equity,"31,00,000",nan
912,26/4/2017,Awfis,Consumer Internet,Collaborative co-Working Spaces,Mumbai,Sequoia India,Private Equity,"2,00,00,000",nan
913,26/4/2017,Myra,Consumer Internet,Online Pharmacy,Bangalore,"Times Internet,Matri",Private Equity,N/A,nan
914,26/4/2017,Flytxt,Technology,Customer data analytics software,Mumbai,DAH Beteiligungs G,Private Equity,"1,10,00,000",nan
915,26/4/2017,Howdy Ventures,Consumer Internet,Public and Private Events creation app,Chennai,S. Xavier Britto,Seed Funding,"15,00,000",nan
916,26/4/2017,StalkBuyLove,eCommerce,Online fashion marketplace,New Delhi,Trifecta Capital,Private Equity,"10,00,000",nan
917,26/4/2017,ZipGo,Consumer Internet,Bus Pooling services platform,Bangalore,Orios Ventures Part,Private Equity,N/A,nan
918,27/4/2017,Scootsy,Consumer Internet,On-Demand Food Delivery,Mumbai,"Agnus Capital, Khat",Private Equity,"36,00,000",nan
919,27/4/2017,Autobix,Technology,Software Solutions for Auto Dealership,Pune,GardX International,Seed Funding,N/A,nan
920,27/4/2017,eShiksha,Technology,Education Institution Management Sol,Jaipur,Cross Border Angel,Seed Funding,N/A,nan
921,27/4/2017,iNurture,Consumer Internet,Online Educational courses,Bangalore,BlackSoil Capital Pv,Private Equity,"15,00,000",nan
922,28/4/2017,Sepalika,Consumer Internet,Healthcare related content platform,New Delhi,Accel Partners,Seed Funding,"7,50,000",nan
923,28/4/2017,Mintwalk,Consumer Internet,Financial advisory mobile app,Mumbai,Poshika Financial E,Seed Funding,N/A,nan
924,29/4/2017,Qriyo,Consumer Internet,Tutor Discovery & Booking platform,Jaipur,NB Ventures,Private Equity,N/A,nan
925,01/3/2017,Ola,Consumer Internet,App based cab aggregator,Bangalore,SoftBank Group Co,Private Equity,"33,00,00,000",nan
926,01/3/2017,Belong,Consumer Internet,Online Jon Portal,Bangalore,Sequoia Capital Ind,Private Equity,"1,00,00,000",nan
927,01/3/2017,Seenit,Consumer Internet,AI based Fashion Search Portal,Kolkata,Calcutta Angels Net,Seed Funding,N/A,nan
928,01/3/2017,Paalak,ECommerce,Fresh Produce Selling portal,New Delhi,"Vishwadeep Bajaj,",Seed Funding,N/A,nan
929,02/3/2017,Celes Care,Consumer Internet,Women Healthcare & Information porta,Hyderabad,"Ventureast, Endiya",Private Equity,"15,00,000",nan
930,02/3/2017,Karomi,Technology,Packaging Artwork Management softw,Chennai,Ideaspring Capital,Seed Funding,"5,00,000",nan
931,02/3/2017,Red Carpet,Consumer Internet,Micro Lending platform,Gurgaon,Lightspeed Venture,Private Equity,"25,00,000",nan
932,02/3/2017,Kreate Konnect,Technology,End-to-End Seller e-commerce solutio,Vadodara,Langoor,Seed Funding,N/A,nan
933,02/3/2017,CreditMantri,Consumer Internet,Online Credit score & lending platform,Chennai,Quona Capital,Private Equity,"76,00,000",nan
934,03/3/2017,Lets Endorse,Consumer Internet,Online Ecosystem of social innovators,Bangalore,Chandigarh Angels,Seed Funding,N/A,nan
935,03/3/2017,Tydy,Technology,Employee Onboarding and Engageme,Bangalore,"Bhupen Shah, Jaye",Seed Funding,"2,75,000",nan
936,03/3/2017,Nactus,Consumer Internet,Professional Tutors discovery & bookin,Jaipur,"Sandeep Aggarwal,",Seed Funding,N/A,nan
937,03/3/2017,Oho Shop,Technology,eCommerce Mobile App Builder,Ahmedabad,"Bennett, Coleman a",Private Equity,"67,00,000",nan
938,03/3/2017,Emojifi,Consumer Internet,Mobile App for live emoji,Hyderabad,Undisclosed angel i,Seed Funding,N/A,nan
939,03/3/2017,Paytm Marketplace,ECommerce,ECommerce Marketplace,Bangalore,Alibaba,Private Equity,"20,00,00,000",nan
940,04/3/2017,iGenetics,Healthcare,Health Diagnostic Solutions,Mumbai,CDC Group Plc,Private Equity,"1,95,00,000",nan
941,06/3/2017,Juno Clinic,Consumer Internet,Online Counseling Platform,Mumbai,Atul Nishar,Seed Funding,"12,00,000",nan
942,06/3/2017,Summerlabel,Consumer Internet,Fashion and Lifestyle discovery platfor,Gurgaon,"Aneesh Seth, Tusha",Seed Funding,"1,50,000",nan
943,06/3/2017,PickMe,Consumer Internet,Gadget Insurance & Repair Services p,Mumbai,SIDBI Venture Capi,Private Equity,"17,90,000",nan
944,07/3/2017,Agrostar,Technology,Direct-to-Farmer Mobile-Based Retail,Pune,Accel Partners,Private Equity,"1,00,00,000",nan
945,07/3/2017,Zapr,Technology,"DSP, TV Analytics & Cross-Platform ad",Bangalore,Star India Pvt Ltd,Private Equity,"1,00,00,000",nan
946,07/3/2017,Data Resolve,Technology,Cyber Security Solutions,Noida,IDFC Parampara E,Private Equity,"10,00,000",nan
947,07/3/2017,Book Servicing,Consumer Internet,Online Vehicle Services Booking platfo,New Delhi,National Science an,Seed Funding,"30,000",nan
948,07/3/2017,Blowhorn,Consumer Internet,Intra-City Logistics provider,Bangalore,"IDG Ventures India,",Private Equity,"36,50,000",nan
949,08/3/2017,Rivigo,Logistics,Technology Enabled Logistics Compan,Gurgaon,Private Sector Bank,Private Equity,"1,50,00,000",nan
950,08/3/2017,PipeCandy,Technology,Intelligent Sales Prospecting Platform,Chennai,"IDG ventures, Axilo",Seed Funding,"11,00,000",nan
951,08/3/2017,Supr Daily,Consumer Internet,Subscription based Home Delivery Pla,Mumbai,Y Combinator,Seed Funding,"1,20,000",nan
